TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;;;
;;;;;;;;;;;
1970 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
İllere göre şehir ve köy nüfusları ;;;;;;;;;;;
İller;Toplam;;;;Şehir;;;;Köy ;;
Gümüşhane;282,238;133,580;148,658;;45,070;26,173;18,897;;237,168;107,407;129,761
Hakkari;102,312;54,813;47,499;;20,794;12,525;8,269;;81,518;42,288;39,230
Hatay;591,064;303,068;287,996;;242,052;128,445;113,607;;349,012;174,623;174,389
Isparta;300,029;151,283;148,746;;114,296;61,659;52,637;;185,733;89,624;96,109
İçel;590,943;300,197;290,746;;246,300;128,906;117,394;;344,643;171,291;173,352
İstanbul;3,019,032;1,624,658;1,394,374;;2,203,337;1,183,864;1,019,473;;815,695;440,794;374,901
İzmir;1,427,173;739,429;687,744;;753,041;391,502;361,539;;674,132;347,927;326,205
Kars;660,018;335,249;324,769;;153,241;91,667;61,574;;506,777;243,582;263,195
Kastamonu;446,601;214,490;232,111;;82,101;44,219;37,882;;364,500;170,271;194,229
Kayseri;598,693;293,904;304,789;;236,824;123,034;113,790;;361,869;170,870;190,999
Kırklareli;257,131;136,509;120,622;;92,581;55,096;37,485;;164,550;81,413;83,137
Kırşehir;214,932;103,170;111,762;;54,669;29,295;25,374;;160,263;73,875;86,388
Kocaeli;385,408;204,040;181,368;;188,185;104,998;83,187;;197,223;99,042;98,181
Konya;1,280,239;632,610;647,629;;455,707;237,331;218,376;;824,532;395,279;429,253
Kütahya;439,967;224,041;215,926;;110,209;61,347;48,862;;329,758;162,694;167,064
Malatya;510,979;256,777;254,202;;179,647;94,884;84,763;;331,332;161,893;169,439
Manisa;805,650;405,339;400,311;;299,202;155,126;144,076;;506,448;250,213;256,235
Kahramanmaraş;528,982;266,819;262,163;;165,056;87,503;77,553;;363,926;179,316;184,610
Mardin;453,092;230,638;222,454;;119,852;63,883;55,969;;333,240;166,755;166,485
Muğla;368,776;183,738;185,038;;70,596;36,085;34,511;;298,180;147,653;150,527
Muş;234,250;120,494;113,756;;44,889;25,160;19,729;;189,361;95,334;94,027
Nevşehir;229,830;109,886;119,944;;57,545;29,045;28,500;;172,285;80,841;91,444
Niğde;408,441;197,665;210,776;;85,772;43,717;42,055;;322,669;153,948;168,721
Ordu;608,721;298,842;309,879;;118,041;63,387;54,654;;490,680;235,455;255,225
Rize;315,700;150,099;165,601;;72,714;38,085;34,629;;242,986;112,014;130,972
Sakarya;459,052;228,431;230,621;;152,277;79,249;73,028;;306,775;149,182;157,593
Samsun;821,183;404,163;417,020;;235,716;119,468;116,248;;585,467;284,695;300,772
Siirt;320,684;166,247;154,437;;111,206;59,724;51,482;;209,478;106,523;102,955
Sinop;265,655;127,999;137,656;;46,382;24,282;22,100;;219,273;103,717;115,556
Sivas;731,921;358,440;373,481;;211,374;113,153;98,221;;520,547;245,287;275,260
Tekirdağ;302,946;159,917;143,029;;117,351;69,261;48,090;;185,595;90,656;94,939
Tokat;540,855;269,089;271,766;;146,623;76,322;70,301;;394,232;192,767;201,465
Trabzon;659,120;312,736;346,384;;138,435;72,892;65,543;;520,685;239,844;280,841
Tunceli;157,293;78,064;79,229;;29,363;16,731;12,632;;127,930;61,333;66,597
Urfa;538,131;274,765;263,366;;205,524;107,087;98,437;;332,607;167,678;164,929
Uşak;207,512;100,593;106,919;;69,926;36,058;33,868;;137,586;64,535;73,051
Van;325,763;171,232;154,531;;88,227;49,052;39,175;;237,536;122,180;115,356
Yozgat;464,410;226,949;237,461;;88,065;47,364;40,701;;376,345;179,585;196,760
Zonguldak;743,654;371,109;372,545;;220,904;121,275;99,629;;522,750;249,834;272,916
Şehir : İl ve ilçe merkezleri sınırları içindeki nüfustur.;;;;;;;;;;;
Köy : İl ve ilçe merkezleri dışında kalan yerleşim yerlerindeki nüfustur. ;;;;;;;;;;;
