TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;;;
;;;;;;;;;;;
1970 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
İllere göre şehir ve köy nüfusları ;;;;;;;;;;;
İller;Toplam;;;;Şehir;;;;Köy ;;
;;;;;;;;;;;
;;;;;;;;;;;
;Toplam;Erkek;Kadın;;Toplam;Erkek;Kadın;;Toplam;Erkek;Kadın
;;;;;;;;;;;
;;;;;;;;;;;
Türkiye;35,605,176;18,006,986;17,598,190;;13,691,101;7,312,714;6,378,387;;21,914,075;10,694,272;11,219,803
Adana;1,035,377;526,796;508,581;;525,668;273,548;252,120;;509,709;253,248;256,461
Adıyaman;303,511;152,237;151,274;;70,398;36,447;33,951;;233,113;115,790;117,323
Afyonkarahisar;542,111;265,196;276,915;;150,778;77,880;72,898;;391,333;187,316;204,017
Ağrı;290,311;152,253;138,058;;72,573;43,068;29,505;;217,738;109,185;108,553
Amasya;307,025;154,843;152,182;;97,088;51,896;45,192;;209,937;102,947;106,990
Ankara;2,041,658;1,067,437;974,221;;1,467,304;792,786;674,518;;574,354;274,651;299,703
Antalya;577,334;287,376;289,958;;176,008;92,552;83,456;;401,326;194,824;206,502
Artvin;225,869;110,613;115,256;;39,436;23,710;15,726;;186,433;86,903;99,530
Aydın;564,802;281,589;283,213;;186,856;95,964;90,892;;377,946;185,625;192,321
Balıkesir;749,669;382,287;367,382;;261,626;139,746;121,880;;488,043;242,541;245,502
Bilecik;138,856;69,240;69,616;;43,601;23,740;19,861;;95,255;45,500;49,755
Bingöl;177,951;91,480;86,471;;35,451;20,836;14,615;;142,500;70,644;71,856
Bitlis;185,473;98,012;87,461;;59,939;33,896;26,043;;125,534;64,116;61,418
Bolu;403,766;197,954;205,812;;84,321;45,629;38,692;;319,445;152,325;167,120
Burdur;210,335;104,270;106,065;;61,708;32,849;28,859;;148,627;71,421;77,206
Bursa;847,884;423,941;423,943;;416,662;212,058;204,604;;431,222;211,883;219,339
Çanakkale;360,764;188,554;172,210;;97,305;55,905;41,400;;263,459;132,649;130,810
Çankırı;261,367;125,807;135,560;;53,747;28,507;25,240;;207,620;97,300;110,320
Çorum;518,366;253,746;264,620;;124,283;65,094;59,189;;394,083;188,652;205,431
Denizli;511,160;250,178;260,982;;141,309;74,765;66,544;;369,851;175,413;194,438
Diyarbakır;581,208;302,237;278,971;;238,504;129,686;108,818;;342,704;172,551;170,153
Edirne;316,425;165,161;151,264;;119,978;67,985;51,993;;196,447;97,176;99,271
Elazığ;376,915;191,283;185,632;;151,555;81,340;70,215;;225,360;109,943;115,417
Erzincan;276,122;139,643;136,479;;78,195;46,685;31,510;;197,927;92,958;104,969
Erzurum;684,951;348,024;336,927;;196,821;110,250;86,571;;488,130;237,774;250,356
Eskişehir;459,367;231,671;227,696;;245,905;127,441;118,464;;213,462;104,230;109,232
Gaziantep;606,540;308,154;298,386;;330,082;171,779;158,303;;276,458;136,375;140,083
Giresun;451,679;215,932;235,747;;90,906;47,818;43,088;;360,773;168,114;192,659
