TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;
;;;;;;;;;
2000 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
İllere göre şehir ve köy nüfusları;;;;;;;;;
İller;Toplam;;;Şehir;;;Köy ;;
;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın
;;;;;;;;;
Bayburt;97,358;49,035;48,323;41,356;21,945;19,411;56,002;27,090;28,912
Karaman;243,210;120,957;122,253;139,912;69,676;70,236;103,298;51,281;52,017
Kırıkkale;383,508;196,430;187,078;285,294;146,151;139,143;98,214;50,279;47,935
Batman;456,734;230,711;226,023;304,166;153,919;150,247;152,568;76,792;75,776
Şırnak;353,197;193,534;159,663;211,328;115,615;95,713;141,869;77,919;63,950
Bartın;184,178;87,211;96,967;48,002;23,483;24,519;136,176;63,728;72,448
Ardahan;133,756;69,833;63,923;39,725;23,572;16,153;94,031;46,261;47,770
Iğdır;168,634;87,083;81,551;81,582;43,190;38,392;87,052;43,893;43,159
Yalova;168,593;88,750;79,843;98,661;49,922;48,739;69,932;38,828;31,104
Karabük;225,102;111,340;113,762;157,756;79,010;78,746;67,346;32,330;35,016
Kilis;114,724;57,081;57,643;74,985;37,558;37,427;39,739;19,523;20,216
Osmaniye;458,782;231,259;227,523;311,994;159,335;152,659;146,788;71,924;74,864
Düzce;314,266;161,927;152,339;130,632;67,656;62,976;183,634;94,271;89,363
;;;;;;;;;
Şehir : İl ve ilçe merkezleri sınırları içindeki nüfustur.;;;;;;;;;
Köy : İl ve ilçe merkezleri dışında kalan yerleşim yerlerindeki (Belde belediyeleri dahil) nüfustur.;;;;;;;;;
