TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;
;;;;;;;;;
1985 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
İllere göre şehir ve köy nüfusları;;;;;;;;;
İller;Toplam;;;Şehir;;;Köy ;;
;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın
;;;;;;;;;
Türkiye;50,664,458;25,671,975;24,992,483;26,865,757;14,010,662;12,855,095;23,798,701;11,661,313;12,137,388
;;;;;;;;;
Adana;1,725,940;875,164;850,776;1,142,201;586,362;555,839;583,739;288,802;294,937
Adıyaman;430,728;217,195;213,533;150,991;78,337;72,654;279,737;138,858;140,879
Afyon;666,978;333,328;333,650;229,790;119,044;110,746;437,188;214,284;222,904
Ağrı;421,131;218,488;202,643;141,852;81,507;60,345;279,279;136,981;142,298
Amasya;358,289;181,925;176,364;148,614;78,783;69,831;209,675;103,142;106,533
Ankara;3,306,327;1,702,805;1,603,522;2,737,209;1,422,935;1,314,274;569,118;279,870;289,248
Antalya;891,149;455,345;435,804;397,712;208,191;189,521;493,437;247,154;246,283
Artvin;226,338;110,557;115,781;58,302;32,192;26,110;168,036;78,365;89,671
Aydın;743,419;372,382;371,037;302,311;154,360;147,951;441,108;218,022;223,086
Balıkesir;910,282;463,480;446,802;407,585;210,867;196,718;502,697;252,613;250,084
Bilecik;160,909;83,868;77,041;71,521;39,952;31,569;89,388;43,916;45,472
Bingöl;241,548;120,075;121,473;61,199;32,845;28,354;180,349;87,230;93,119
Bitlis;300,843;156,224;144,619;119,626;65,669;53,957;181,217;90,555;90,662
Bolu;504,778;250,806;253,972;143,787;76,865;66,922;360,991;173,941;187,050
Burdur;248,002;125,457;122,545;98,907;53,371;45,536;149,095;72,086;77,009
Bursa;1,324,015;669,134;654,881;840,094;427,722;412,372;483,921;241,412;242,509
Çanakkale;417,121;218,895;198,226;148,108;81,653;66,455;269,013;137,242;131,771
Çankırı;263,964;129,903;134,061;84,494;45,688;38,806;179,470;84,215;95,255
Çorum;599,204;290,159;309,045;200,431;101,477;98,954;398,773;188,682;210,091
Denizli;667,478;335,364;332,114;248,673;130,415;118,258;418,805;204,949;213,856
Diyarbakır;934,505;480,703;453,802;472,055;249,531;222,524;462,450;231,172;231,278
Edirne;389,638;209,988;179,650;178,610;99,522;79,088;211,028;110,466;100,562
Elazığ;483,715;242,277;241,438;233,621;120,590;113,031;250,094;121,687;128,407
Erzincan;299,985;154,811;145,174;112,307;63,254;49,053;187,678;91,557;96,121
Erzurum;856,175;435,276;420,899;350,955;190,850;160,105;505,220;244,426;260,794
Eskişehir;597,397;301,562;295,835;404,236;205,603;198,633;193,161;95,959;97,202
Gaziantep;966,490;490,022;476,468;642,938;330,370;312,568;323,552;159,652;163,900
Giresun;502,151;243,372;258,779;160,995;83,942;77,053;341,156;159,430;181,726
