TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;;;
;;;;;;;;;;;
1980 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
İllere göre şehir ve köy nüfusları ;;;;;;;;;;;
İller;Toplam;;;;Şehir;;;;Köy ;;
Gümüşhane;275,191;130,198;144,993;;51,404;28,017;23,387;;223,787;102,181;121,606
Hakkari;155,463;84,056;71,407;;44,118;25,425;18,693;;111,345;58,631;52,714
Hatay;856,271;437,823;418,448;;366,550;188,993;177,557;;489,721;248,830;240,891
Isparta;350,116;182,383;167,733;;158,251;89,467;68,784;;191,865;92,916;98,949
İçel;843,931;429,721;414,210;;424,544;217,982;206,562;;419,387;211,739;207,648
İstanbul;4,741,890;2,482,247;2,259,643;;2,909,455;1,511,490;1,397,965;;1,832,435;970,757;861,678
İzmir;1,976,763;1,021,989;954,774;;1,059,183;544,957;514,226;;917,580;477,032;440,548
Kars;700,238;359,274;340,964;;172,119;98,539;73,580;;528,119;260,735;267,384
Kastamonu;450,946;216,207;234,739;;99,680;51,571;48,109;;351,266;164,636;186,630
Kayseri;778,383;389,220;389,163;;380,352;194,680;185,672;;398,031;194,540;203,491
Kırklareli;283,408;153,245;130,163;;118,849;69,883;48,966;;164,559;83,362;81,197
Kırşehir;240,497;114,963;125,534;;83,965;42,401;41,564;;156,532;72,562;83,970
Kocaeli;596,899;311,837;285,062;;318,026;168,857;149,169;;278,873;142,980;135,893
Konya;1,562,139;776,502;785,637;;672,695;345,046;327,649;;889,444;431,456;457,988
Kütahya;497,089;251,251;245,838;;162,031;85,549;76,482;;335,058;165,702;169,356
Malatya;606,996;308,860;298,136;;241,560;126,778;114,782;;365,436;182,082;183,354
Manisa;941,941;475,195;466,746;;396,297;206,184;190,113;;545,644;269,011;276,633
Kahramanmaraş;738,032;377,607;360,425;;281,382;148,550;132,832;;456,650;229,057;227,593
Mardin;564,967;288,385;276,582;;192,004;103,045;88,959;;372,963;185,340;187,623
Muğla;438,145;220,966;217,179;;100,314;52,487;47,827;;337,831;168,479;169,352
Muş;302,406;156,610;145,796;;71,077;39,058;32,019;;231,329;117,552;113,777
Nevşehir;256,933;124,869;132,064;;77,404;40,098;37,306;;179,529;84,771;94,758
Niğde;512,071;249,631;262,440;;140,415;71,403;69,012;;371,656;178,228;193,428
Ordu;713,535;350,431;363,104;;169,820;87,007;82,813;;543,715;263,424;280,291
Rize;361,258;173,651;187,607;;96,152;49,662;46,490;;265,106;123,989;141,117
Sakarya;548,747;276,046;272,701;;195,069;100,624;94,445;;353,678;175,422;178,256
Samsun;1,008,113;495,498;512,615;;345,200;173,721;171,479;;662,913;321,777;341,136
Siirt;445,483;230,253;215,230;;183,804;97,124;86,680;;261,679;133,129;128,550
Sinop;276,242;133,392;142,850;;57,443;29,664;27,779;;218,799;103,728;115,071
Sivas;750,144;372,771;377,373;;273,215;144,191;129,024;;476,929;228,580;248,349
Tekirdağ;360,742;193,734;167,008;;167,270;97,236;70,034;;193,472;96,498;96,974
Tokat;624,508;317,422;307,086;;200,231;104,202;96,029;;424,277;213,220;211,057
Trabzon;731,045;349,503;381,542;;186,580;97,482;89,098;;544,465;252,021;292,444
Tunceli;157,974;79,227;78,747;;36,184;19,979;16,205;;121,790;59,248;62,542
Urfa;602,736;311,717;291,019;;282,419;149,372;133,047;;320,317;162,345;157,972
Uşak;247,224;120,252;126,972;;103,474;51,841;51,633;;143,750;68,411;75,339
Van;468,646;244,802;223,844;;156,852;85,213;71,639;;311,794;159,589;152,205
Yozgat;504,433;245,702;258,731;;124,297;63,449;60,848;;380,136;182,253;197,883
Zonguldak;954,512;475,105;479,407;;312,843;164,455;148,388;;641,669;310,650;331,019
Şehir : İl ve ilçe merkezleri sınırları içindeki nüfustur.;;;;;;;;;;;
Köy : İl ve ilçe merkezleri dışında kalan yerleşim yerlerindeki nüfustur. ;;;;;;;;;;;
