TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;;;
;;;;;;;;;;;
1980 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
İllere göre şehir ve köy nüfusları ;;;;;;;;;;;
İller;Toplam;;;;Şehir;;;;Köy ;;
;;;;;;;;;;;
;;;;;;;;;;;
;Toplam;Erkek;Kadın;;Toplam;Erkek;Kadın;;Toplam;Erkek;Kadın
;;;;;;;;;;;
;;;;;;;;;;;
Türkiye;44,736,957;22,695,362;22,041,595;;19,645,007;10,272,130;9,372,877;;25,091,950;12,423,232;12,668,718
Adana;1,485,743;750,217;735,526;;842,845;430,255;412,590;;642,898;319,962;322,936
Adıyaman;367,595;185,049;182,546;;116,986;60,119;56,867;;250,609;124,930;125,679
Afyonkarahisar;597,516;306,426;291,090;;191,298;102,581;88,717;;406,218;203,845;202,373
Ağrı;368,009;193,313;174,696;;108,414;63,355;45,059;;259,595;129,958;129,637
Amasya;341,287;172,439;168,848;;128,077;67,216;60,861;;213,210;105,223;107,987
Ankara;2,854,689;1,466,584;1,388,105;;2,238,967;1,166,751;1,072,216;;615,722;299,833;315,889
Antalya;748,706;376,863;371,843;;280,837;146,160;134,677;;467,869;230,703;237,166
Artvin;228,997;112,606;116,391;;46,208;25,695;20,513;;182,789;86,911;95,878
Aydın;652,488;326,599;325,889;;245,329;125,380;119,949;;407,159;201,219;205,940
Balıkesir;853,177;433,525;419,652;;344,368;180,439;163,929;;508,809;253,086;255,723
Bilecik;147,001;74,592;72,409;;56,981;30,702;26,279;;90,020;43,890;46,130
Bingöl;228,702;117,134;111,568;;54,997;30,549;24,448;;173,705;86,585;87,120
Bitlis;257,908;135,116;122,792;;93,757;51,401;42,356;;164,151;83,715;80,436
Bolu;471,751;234,368;237,383;;113,569;60,463;53,106;;358,182;173,905;184,277
Burdur;235,009;117,430;117,579;;84,983;45,192;39,791;;150,026;72,238;77,788
Bursa;1,148,492;579,747;568,745;;636,910;324,509;312,401;;511,582;255,238;256,344
Çanakkale;391,568;204,583;186,985;;126,703;70,451;56,252;;264,865;134,132;130,733
Çankırı;258,436;125,798;132,638;;69,325;36,460;32,865;;189,111;89,338;99,773
Çorum;571,831;279,521;292,310;;167,273;85,624;81,649;;404,558;193,897;210,661
Denizli;603,338;298,426;304,912;;205,938;107,747;98,191;;397,400;190,679;206,721
Diyarbakır;778,150;403,603;374,547;;374,264;197,468;176,796;;403,886;206,135;197,751
Edirne;363,286;195,638;167,648;;153,236;85,882;67,354;;210,050;109,756;100,294
Elazığ;440,808;221,116;219,692;;187,025;96,851;90,174;;253,783;124,265;129,518
Erzincan;282,022;143,530;138,492;;95,228;54,318;40,910;;186,794;89,212;97,582
Erzurum;801,809;411,682;390,127;;285,182;155,794;129,388;;516,627;255,888;260,739
Eskişehir;543,802;275,608;268,194;;343,923;176,753;167,170;;199,879;98,855;101,024
Gaziantep;808,697;409,302;399,395;;512,745;262,229;250,516;;295,952;147,073;148,879
Giresun;480,083;232,002;248,081;;127,111;66,104;61,007;;352,972;165,898;187,074
